sitename,county,aqi,distance_to_taipei,latitude,longitude,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,wind_speed,wind_direc,publishtime,co_8hr,pm2.5_avg,pm10_avg,so2_avg,siteid
臺東,臺東縣,41,257.62,22.755358,121.15045,,良好,0.8,0.26,43,44,10,4,4,5.2,1,1.1,70,2026/02/26 17:00:00,0.2,4,9,0,62
花蓮,花蓮縣,40,119.99,23.971306,121.599769,,良好,0.5,0.28,43,43,13,6,5,6.1,0.8,1.8,320,2026/02/26 17:00:00,0.2,5,10,1,63
陽明,臺北市,34,15.06,25.182722,121.529583,,良好,1.4,0.24,38,37,22,9,3,4.2,0.9,,,2026/02/26 17:00:00,0.2,4.6,12,1,64
宜蘭,宜蘭縣,44,40.59,24.747917,121.746394,,良好,0.9,0.27,48,47,18,11,5,6.4,0.9,1.2,26,2026/02/26 17:00:00,0.2,7.3,16,0,65
冬山,宜蘭縣,38,53.95,24.632203,121.792928,,良好,0.8,0.37,38,33,26,11,12,14.7,2.2,1.8,13,2026/02/26 17:00:00,0.2,9.5,21,0,66
三重,新北市,60,3.62,25.072611,121.493806,二氧化氮,普通,1,0.86,11,17,25,11,37,85.2,48.2,-,-,2026/02/26 17:00:00,0.7,10.3,26,1,67
中壢,桃園市,56,31.56,24.953278,121.221667,二氧化氮,普通,1.1,0.61,18,22,35,13,30,50.8,19.9,0.3,356,2026/02/26 17:00:00,0.5,11.5,33,1,68
竹山,南投縣,78,166.88,23.756389,120.677306,細懸浮微粒,普通,2.2,0.2,53,52,64,27,7,8.2,0.8,2.4,285,2026/02/26 17:00:00,0.2,22.2,45,1,69
永和,新北市,57,3.43,25.017,121.516306,二氧化氮,普通,3.7,0.76,15,26,31,15,31,42.4,11.3,0.6,77,2026/02/26 17:00:00,0.5,10.5,25,1,70
復興,高雄市,74,297.62,22.608711,120.312017,懸浮微粒,普通,,0.31,44,45,48,9,11,13.8,2.5,0.8,213,2026/02/26 17:00:00,0.3,17.7,52,1,71
埔里,南投縣,70,132.21,23.968842,120.967903,細懸浮微粒,普通,1.4,0.28,53,44,53,25,4,5.5,0.9,2.2,282,2026/02/26 17:00:00,0.2,19.4,39,1,72
馬祖,連江縣,81,199.32,26.153736,119.952724,細懸浮微粒,普通,0.8,0.44,26,30,22,17,12,13,0.9,1.1,349,2026/02/26 17:00:00,0.5,23.5,28,1,75
金門,金門縣,58,330.8,24.432133,118.312256,細懸浮微粒,普通,1.3,0.32,45,45,22,14,10,10.3,0.1,0.5,36,2026/02/26 17:00:00,0.2,15,20,1,77
馬公,澎湖縣,68,257.13,23.569031,119.566158,懸浮微粒,普通,0.3,0.18,50,46,35,11,3,4.6,0.6,2.9,9,2026/02/26 17:00:00,0.1,14.5,46,0,78
關山,臺東縣,33,225.59,23.045083,121.161933,,良好,0.4,0.2,42,36,7,8,2,3.5,1.1,2.6,188,2026/02/26 17:00:00,0.1,4.5,8,0,80
麥寮,雲林縣,61,192.68,23.753506,120.251825,懸浮微粒,普通,1.1,0.19,49,46,46,17,2,5.1,2.4,3,339,2026/02/26 17:00:00,0.2,14.7,40,1,83
富貴角,新北市,51,27.76,25.29681695,121.53656894,懸浮微粒,普通,0.4,0.13,55,51,21,10,1,1.7,0,6.8,36,2026/02/26 17:00:00,0.1,9.2,31,0,84
大城,彰化縣,64,183.12,23.85493056,120.26964167,懸浮微粒,普通,0.9,0.15,51,49,48,15,1,3.1,2,3.8,314,2026/02/26 17:00:00,0.1,15.9,43,1,85
臺灣大道,臺中市,61,131.66,24.1589,120.6567111,細懸浮微粒,普通,1.4,0.62,37,41,44,17,24,40.7,16.1,0.8,351,2026/02/26 17:00:00,0.6,16,37,0,88
員林,彰化縣,67,154.6,23.9615945,120.5631893,懸浮微粒,普通,2.2,0.27,49,52,50,16,8,9.7,1.5,2.2,301,2026/02/26 17:00:00,0.3,17.5,45,1,139
林森,臺南市,67,264.37,22.98522502,120.22216042,懸浮微粒,普通,0.9,0.49,49,44,46,18,11,14.1,2.7,1.3,188,2026/02/26 17:00:00,0.4,17.3,45,0,140
南投（鹿谷）,南投縣,77,164.91,23.71867609,120.7944772,細懸浮微粒,普通,1.7,0.23,55,53,49,21,5,6.5,0.9,0.6,272,2026/02/26 17:00:00,0.2,22.1,47,1,203
屏東（琉球）,屏東縣,71,321.41,22.35222,120.37722,細懸浮微粒,普通,0.9,0.23,56,59,32,12,3,3.7,0.5,1.2,328,2026/02/26 17:00:00,0.2,19.8,47,1,204
新北（樹林）,新北市,46,17.37,24.94902778,121.38352778,,良好,1.4,0.33,31,33,28,15,19,21.5,1.9,0.6,17,2026/02/26 17:00:00,0.3,11.4,23,0,311
屏東（枋山）,屏東縣,108,322.18,22.260899,120.651472,臭氧八小時,對敏感族群不健康,0.9,0.25,75,73,35,20,3,3.3,0,0.6,254,2026/02/26 17:00:00,0.2,21.2,41,0,313
